,mse,mase,mae,mape,fold,id,trial_num
0,1233.863037109375,0.6492593288421631,20.861265182495117,28.796297073364258,3,Yahoo_Mail,2
0,1283.4569091796875,0.6418205499649048,20.552947998046875,27.015825271606445,4,Yahoo_Mail,2
0,1437.9393310546875,0.7875089049339294,22.37250328063965,48.35212326049805,0,PlayStation,2
0,1359.53759765625,0.7332530617713928,22.1318416595459,39.09068298339844,1,PlayStation,2
0,1315.049560546875,0.6698936223983765,21.15707778930664,31.291606903076172,2,PlayStation,2
0,1211.392578125,0.6344886422157288,20.39097023010254,27.574268341064453,3,PlayStation,2
0,1296.471435546875,0.6472614407539368,20.72443389892578,27.445783615112305,4,PlayStation,2
0,1386.716552734375,0.7706926465034485,21.886024475097656,42.83122634887695,0,Wikipedia,2
0,1358.5015869140625,0.7434190511703491,22.439193725585938,39.51670455932617,1,Wikipedia,2
0,1303.1177978515625,0.6659298539161682,21.032678604125977,29.567903518676758,2,Wikipedia,2
0,1250.6475830078125,0.6475682258605957,20.804582595825195,28.424734115600586,3,Wikipedia,2
0,1272.7591552734375,0.6325424909591675,20.254369735717773,25.64534568786621,4,Wikipedia,2
0,1453.7366943359375,0.7789788246154785,22.122514724731445,37.724586486816406,0,Apple_Web_Services,2
0,1396.9019775390625,0.7418684959411621,22.392133712768555,34.261085510253906,1,Apple_Web_Services,2
0,1335.6845703125,0.6692541241645813,21.1358642578125,29.01116943359375,2,Apple_Web_Services,2
0,1232.2734375,0.6503796577453613,20.893917083740234,30.853208541870117,3,Apple_Web_Services,2
0,1317.278076171875,0.6493237018585205,20.79541015625,26.94350242614746,4,Apple_Web_Services,2
0,1462.4658203125,0.7905998229980469,22.450130462646484,36.20390701293945,0,Pinterest,2
0,1607.659423828125,0.8066101670265198,24.34640121459961,42.532371520996094,1,Pinterest,2
0,1224.43603515625,0.6567121148109436,20.74017333984375,29.643409729003906,2,Pinterest,2
0,1205.3765869140625,0.6423215270042419,20.64790153503418,29.127513885498047,3,Pinterest,2
0,1269.8616943359375,0.641863226890564,20.554584503173828,30.580196380615234,4,Pinterest,2
0,1532.54052734375,0.8058186769485474,22.884143829345703,38.359046936035156,0,Web_Ads,2
0,1733.4378662109375,0.8432874083518982,25.45148468017578,40.401573181152344,1,Web_Ads,2
0,1271.1961669921875,0.6646087765693665,20.987655639648438,29.525665283203125,2,Web_Ads,2
0,1204.606201171875,0.6380130052566528,20.49690818786621,26.356393814086914,3,Web_Ads,2
0,1285.543701171875,0.6521908640861511,20.88623046875,29.410669326782227,4,Web_Ads,2
0,1335.9906005859375,0.7468989491462708,21.214187622070312,37.222599029541016,0,Google_Mail,2
0,1330.9573974609375,0.7225205898284912,21.814449310302734,35.881954193115234,1,Google_Mail,2
0,1343.0196533203125,0.676805317401886,21.37613868713379,30.454084396362305,2,Google_Mail,2
0,1213.1915283203125,0.6387567520141602,20.52324867248535,26.260841369628906,3,Google_Mail,2
0,1284.444091796875,0.6445016860961914,20.63540267944336,28.873815536499023,4,Google_Mail,2
0,1352.7166748046875,0.7621179223060608,21.649105072021484,38.81364059448242,0,Google_Meet,2
0,1504.100341796875,0.769771933555603,23.235427856445312,37.10388946533203,1,Google_Meet,2
0,1289.1844482421875,0.6624763607978821,20.92197036743164,28.9761962890625,2,Google_Meet,2
0,1206.6119384765625,0.6379812359809875,20.498321533203125,28.975364685058594,3,Google_Meet,2
0,1287.276611328125,0.6452666521072388,20.6700439453125,30.499404907226562,4,Google_Meet,2
0,1356.0609130859375,0.7589541077613831,21.554094314575195,38.578433990478516,0,Apple_Siri,2
0,1449.36328125,0.7581627368927002,22.884746551513672,38.17627716064453,1,Apple_Siri,2
0,1359.3468017578125,0.6833373308181763,21.580429077148438,30.865901947021484,2,Apple_Siri,2
0,1210.6121826171875,0.6548489928245544,21.03910255432129,34.41494369506836,3,Apple_Siri,2
0,1283.3826904296875,0.6429706811904907,20.5861873626709,27.225202560424805,4,Apple_Siri,2
0,1461.00146484375,0.7891612648963928,22.411619186401367,43.73415756225586,0,Web_Adult,2
0,1334.123779296875,0.7166472673416138,21.631071090698242,35.00200653076172,1,Web_Adult,2
0,1264.0379638671875,0.6528412699699402,20.617990493774414,29.19253158569336,2,Web_Adult,2
0,1177.3271484375,0.634117066860199,20.373905181884766,28.1860294342041,3,Web_Adult,2
0,1279.7379150390625,0.6400160193443298,20.49353790283203,27.404441833496094,4,Web_Adult,2
0,1465.73974609375,0.8166532516479492,23.19243621826172,51.4406852722168,0,Spotify,2
0,1329.828857421875,0.7176744341850281,21.6655330657959,33.362369537353516,1,Spotify,2
0,1257.510009765625,0.6516435742378235,20.580507278442383,27.847623825073242,2,Spotify,2
0,1163.93017578125,0.6229620575904846,20.018220901489258,26.537033081054688,3,Spotify,2
0,1301.5035400390625,0.6560971736907959,21.009159088134766,30.665809631347656,4,Spotify,2
0,1408.462646484375,0.7672062516212463,21.79245948791504,40.9399528503418,0,Deezer,2
0,1491.0518798828125,0.7848901152610779,23.69293212890625,44.63081741333008,1,Deezer,2
0,1395.629638671875,0.6868229508399963,21.689899444580078,29.661697387695312,2,Deezer,2
0,1245.2138671875,0.6505004167556763,20.908935546875,27.644351959228516,3,Deezer,2
0,1250.0377197265625,0.6317489147186279,20.2347354888916,26.762325286865234,4,Deezer,2
0,1293.9859619140625,0.746694028377533,21.21160888671875,38.622039794921875,0,Waze,2
0,1406.060546875,0.7422700524330139,22.40826988220215,36.870365142822266,1,Waze,2
0,1314.41015625,0.6654268503189087,21.01456069946289,30.117692947387695,2,Waze,2
